"mgm4552597.3" "mgm4552598.3" "mgm4552599.3" "mgm4552600.3" "mgm4552601.3" "mgm4552602.3" "mgm4552603.3" "mgm4552604.3" "mgm4552605.3" "mgm4552606.3" "mgm4552607.3" "mgm4552608.3" "mgm4552609.3" "mgm4552610.3" "mgm4552611.3" "mgm4552612.3" "mgm4552613.3" "mgm4552614.3" "mgm4552615.3" "mgm4552616.3" "mgm4552617.3" "mgm4552618.3" "mgm4552619.3" "mgm4552620.3" "mgm4552621.3" "mgm4552622.3" "mgm4552623.3" "mgm4552624.3" "mgm4552625.3" "mgm4552626.3" "mgm4552627.3" "mgm4552628.3" "mgm4552629.3" "mgm4552630.3" "mgm4552631.3" "mgm4552632.3" "mgm4552633.3" "mgm4552634.3" "mgm4552635.3" "mgm4552636.3"
"Fatty Acids, Lipids, and Isoprenoids" 79797 77356 194818 210806 103512 94872 118072 69140 188 177829 199072 81241 159101 151579 80459 77612 182906 99260 130891 87474 66590 115403 97493 109364 144364 118593 102571 229032 108798 237874 207230 235721 142906 209508 80642 92050 89423 63651 73038 92749
"Nucleosides and Nucleotides" 78204 71977 180276 199937 99643 85701 110543 63433 201 168829 189608 76374 156695 144002 78826 72371 173738 95609 128361 84285 55369 92453 81335 92537 121647 98246 86727 187600 90866 201308 169853 193616 119575 178677 69011 76274 74179 53999 61547 78123
"Membrane Transport" 65456 59712 155680 158984 82821 70742 93546 52268 175 144342 162135 65055 139783 123177 70377 60658 152462 80954 110105 71925 65443 109316 95953 108763 140062 113287 99678 218877 106273 233278 197356 213600 133876 205427 81051 89101 86558 61239 71289 91927
"Virulence, Disease and Defense" 62075 58723 161295 155087 82784 71576 93625 51485 143 140152 158993 65065 135116 121043 69166 59252 149765 78480 105599 68641 41745 73139 59902 66793 90391 75277 64305 144158 67410 149595 129795 163589 95360 130595 51104 57198 56416 40366 45319 56533
"Dormancy and Sporulation" 4659 4509 11417 12680 6169 6113 7222 3998 11 10588 12483 5025 9673 9086 4754 4795 10793 5819 7976 5209 56270 91004 81267 92107 120378 99191 86378 189841 91547 203968 172712 194111 123131 181228 70729 74995 73764 54213 61313 78616
"Sulfur Metabolism" 34537 31532 78799 83132 42019 36198 47951 27295 83 74064 81529 32459 68438 64411 34191 32671 80593 43012 57095 38081 53861 90710 78852 91435 124278 100923 89587 185417 88385 203606 169254 215486 126693 175866 70082 76159 71828 53841 61291 75908
"Photosynthesis" 3233 3010 7650 8283 4036 3792 4621 2793 8 6891 7373 3228 6522 5820 3233 3084 6931 3738 5079 3164 28152 46315 40468 46070 59576 48628 43417 95356 46763 102276 84803 102728 66121 89012 35502 39655 37868 28116 31160 40021
"Nitrogen Metabolism" 35964 32270 79608 85349 44109 37670 51062 27384 112 77116 81257 35109 73145 65795 36370 31738 80900 43542 59142 37164 2543 4554 3917 4296 6162 4927 4340 9111 5737 9902 8697 9051 5317 8685 3364 3710 3409 2572 3174 3629
"Motility and Chemotaxis" 14481 15003 41741 38691 20422 18089 24994 12997 43 34048 40610 17092 33722 29811 16718 14415 33862 17849 25591 15806 29115 45875 42597 48821 62804 51749 44762 97701 47486 103473 89295 89162 63873 95628 37175 38636 37858 28154 31605 42841
"Phages, Prophages, Transposable elements, Plasmids" 32879 30471 74384 83292 41378 35704 43902 27218 86 70230 79756 31968 61293 58852 31464 32457 75246 40563 52448 36544 26520 44245 39815 45414 55665 45487 41785 92253 43678 92134 80593 96852 58676 79658 32474 39423 37171 26312 29634 39272
"Iron acquisition and metabolism" 9181 9781 25082 22742 12168 10202 14963 7559 25 22082 22539 9306 23447 18002 10978 7712 21005 11003 15761 9597 25421 43955 36426 41422 56632 46151 39579 87809 42880 93435 79793 97118 56870 80422 31366 35426 34166 24646 28049 35054
"Phosphorus Metabolism" 21761 19772 49850 53163 26774 22864 30190 17135 49 46607 52184 20789 44509 39690 21873 19920 48888 26478 35623 23593 17762 29470 26195 29853 38889 32483 28069 60637 28922 65883 55020 62125 38434 57607 22823 24700 24026 17061 20046 24946
"Potassium metabolism" 8936 8136 23000 22665 11832 10699 14194 7374 25 20820 21715 9253 18446 17384 9804 9238 22955 12441 15137 10142 7425 13530 10900 12569 18521 14642 11700 26097 12212 28616 24387 36359 21159 23110 10102 11402 10719 8068 8739 10365
