"mgm4552597.3" "mgm4552598.3" "mgm4552599.3" "mgm4552600.3" "mgm4552601.3" "mgm4552602.3" "mgm4552603.3" "mgm4552604.3" "mgm4552605.3" "mgm4552606.3" "mgm4552607.3" "mgm4552608.3" "mgm4552609.3" "mgm4552610.3" "mgm4552611.3" "mgm4552612.3" "mgm4552613.3" "mgm4552614.3" "mgm4552615.3" "mgm4552616.3" "mgm4552617.3" "mgm4552618.3" "mgm4552619.3" "mgm4552620.3" "mgm4552621.3" "mgm4552622.3" "mgm4552623.3" "mgm4552624.3" "mgm4552625.3" "mgm4552626.3" "mgm4552627.3" "mgm4552628.3" "mgm4552629.3" "mgm4552630.3" "mgm4552631.3" "mgm4552632.3" "mgm4552633.3" "mgm4552634.3" "mgm4552635.3" "mgm4552636.3"
"Carbohydrates" 291928 278813 700424 731336 371955 330599 423237 242187 833 635097 714750 296852 575874 543016 297835 279285 667640 362138 478981 317170 177149 296087 265001 300527 394124 317203 283707 603830 291817 649687 550414 588551 375809 571931 226496 251644 238805 172308 199406 251193
"Protein Metabolism" 213094 196672 499297 535725 276790 233084 298624 173934 520 463309 529869 213560 434889 394868 219443 201451 482431 263351 354138 232872 309087 521147 456578 514375 665468 541715 480544 1055294 506581 1115780 948693 1054346 662655 978014 384246 431375 413476 297028 339588 435456
"Clustering-based subsystems" 369294 348354 876208 946997 475313 416488 526756 306996 918 811552 909548 371495 744343 691020 377362 353735 844349 458552 609378 405754 4128 6986 5850 6761 8870 7143 6165 13806 6559 14554 12485 12378 7957 12317 5004 5554 5215 3733 4374 5889
"Miscellaneous" 184752 176075 454707 481463 240054 213587 272346 156007 460 411047 465574 189698 378420 348073 191771 177307 420073 227717 305989 202543 12500 19523 17992 20415 24656 20037 18771 40848 20608 42110 35599 46825 31140 39499 15497 17837 17049 13097 14104 18880
"Cofactors, Vitamins, Prosthetic Groups, Pigments" 165664 158307 401531 436688 216599 191851 242521 140913 471 368987 414247 168343 334206 314208 170086 158410 376816 203544 275368 180982 246956 410676 353644 401407 524659 429491 381311 825872 396543 870401 753369 814295 519925 754267 301700 339389 326516 234722 265060 343838
"Respiration" 91186 84906 215942 229855 116669 105951 130497 75639 238 199235 228552 94768 180424 171229 93988 88939 213482 113850 151290 101113 156479 268947 233317 261764 344649 280538 245417 541080 260430 576160 487423 542237 331976 501014 194837 219455 210803 150916 172797 215329
"Cell Division and Cell Cycle" 33452 31153 78456 85106 43340 36787 47235 27446 64 71842 81854 33551 67390 61800 34012 31869 73404 40522 54984 36505 139610 239440 207297 232016 302317 246595 215930 480043 233284 506649 430591 468736 292654 440442 170880 192664 186622 132919 152059 195881
"Metabolism of Aromatic Compounds" 48730 47817 123701 129196 62766 59284 73543 43332 122 111312 122018 49827 100304 95062 50257 47631 115218 60930 81718 52883 76102 125879 109380 124218 168018 135792 119006 258736 124366 274562 232876 276074 171513 233377 95213 108820 103124 73248 84787 108649
"Amino Acids and Derivatives" 239355 224691 561510 613625 304979 269142 340205 198099 647 523691 586690 239529 482478 446812 243010 227617 543196 294005 395003 259789 27984 47072 41666 47413 61217 49740 43284 95147 46263 101473 86162 88481 57627 88806 34714 39212 36888 26398 31189 38942
"DNA Metabolism" 93154 89604 229898 247555 123590 105153 137577 78949 251 207642 234598 95273 193734 177056 97442 89161 210753 114647 155552 103091 9095 14539 12939 14459 19244 16601 14389 30221 14653 31829 28679 25915 17174 31284 11002 10025 10600 7896 8937 11586
"RNA Metabolism" 90966 86693 224736 237052 120555 103263 132955 76279 241 201634 228484 92908 189976 171175 95065 86606 205931 113246 151983 100597 198033 333521 295561 331212 430660 351266 306161 678659 323948 715694 610894 660394 424128 633746 247434 274199 265401 190496 219141 279314
"Cell Wall and Capsule" 69500 65269 175802 176782 91561 78093 103025 56663 222 154770 175881 72241 149482 132774 74551 64694 159807 86230 117749 75363 78312 133364 117066 133399 174638 140049 124827 267130 128277 289286 241639 262134 165147 253046 99191 109930 104750 75024 86968 108220
"Secondary Metabolism" 16922 14150 33104 36822 18384 15680 20153 11980 38 33767 34656 14005 29994 28974 14709 15105 38545 20408 25762 18199 13317 24122 19289 22089 31583 25388 22220 46464 21925 52773 42054 47822 28639 43647 17115 18035 17305 13003 14643 17615
"Stress Response" 65727 61892 156650 164394 83537 73470 92937 54629 179 145537 162040 65717 136192 123550 67977 62068 149799 80714 108582 72026 59736 103210 88347 101476 136105 110905 97298 207079 99782 229374 189452 212230 131904 199946 77189 83936 79080 57902 67881 81662
"Regulation and Cell signaling" 30200 28956 72859 76198 38487 34483 44232 25098 75 67037 76073 30862 61806 56780 31720 28847 69391 37637 49848 33318 80611 137181 120566 136719 177265 143179 127188 276746 131831 294850 250107 258133 162848 260439 100701 111851 107154 77061 87970 112346
